,event_month,search_id,view_count,reservation_count
0,2023-01,000861af-6bd8-4911-8cfc-6904ceaa3a82,0,0
1,2023-01,000f8801-5432-4abb-a92e-c325d4d78551,0,0
2,2023-01,0011653a-b128-41f4-ad31-9e29a2be38f3,1,0
3,2023-01,0012b4c4-5fef-4cf9-8d0f-3295e7e12477,0,0
4,2023-01,001a9c3a-c437-41ae-a053-b77fc3c078ad,1,0
5,2023-01,001d548e-a12d-4cba-93c4-99fe7fe5ab5d,1,0
6,2023-01,0027571b-b32e-43ff-8b10-ba973f251c3a,2,1
7,2023-01,00282a95-0f78-4379-97fa-0922ca25caad,0,0
8,2023-01,002c4334-e22b-4952-814d-c29583d2a8e5,1,1
9,2023-01,0034a11b-7bcb-43b7-92ca-bc933e7f407e,2,0
10,2023-01,00475db6-3ad0-47d1-b85a-4a9e27727681,1,0
11,2023-01,0050f705-bb0e-431e-a843-99fe1d197dc9,1,0
12,2023-01,0065a61a-0045-45a3-9fb9-b618ed74ac31,3,0
13,2023-01,007151d1-225c-42a5-a987-7f21a1daa3ca,0,0
14,2023-01,007d6e32-6275-42ac-8a3b-623cc2389696,3,0
15,2023-01,00837558-ea60-4bcd-a21d-b2628dc16aa7,2,0
16,2023-01,008ed8c3-0907-415a-ae35-5007195ec0bd,0,0
17,2023-01,009962ac-9543-4373-9e44-6428785d4221,1,0
18,2023-01,009a845e-7713-4124-bd53-ad06c979810f,2,0
19,2023-01,009c4646-8a32-486d-b623-f31f7896b1f7,0,0
20,2023-01,009fc43b-130e-4443-acab-e6a59d4b4d9c,0,0
21,2023-01,009ffbe1-f57a-4cd2-8c30-48aae7e863d9,1,0
22,2023-01,00ac1af6-747c-4dfd-9e79-ca0831448634,1,1
23,2023-01,00b23aed-7e69-4778-94ee-e0ab89e35209,0,0
24,2023-01,00be9ac8-a535-49dd-9af9-14ca0eb225b6,1,0
25,2023-01,00d652f1-a959-430c-851b-97afa02eed1f,0,0
26,2023-01,00d8e4bc-7c3b-453b-8ff0-8d0c922de235,4,0
27,2023-01,00de12da-31a3-4cdf-b260-bb6d375aec04,1,0
28,2023-01,00ded235-1d34-41b4-a099-2e315d773352,0,0
